title;abstract;journal;volume
Demonstration of Thrust Vector Control by Hydrogen Peroxide Injection in Hybrid Rockets;A liquid injection thrust vector control (LITVC) system was designed for a hybrid rocket that uses 95 wt % hydrogen peroxide  and the system was demonstrated by using the hydrogen peroxide as the injectant. The influence of the chamber pressure  injectant flow rate  and injection location on the LITVC performance was parametrically investigated. The investigations revealed that the chamber pressure had a significant influence on the LITVC performance. As the chamber pressure increased from 20 to 40 bar  the side specific impulse improved from 71.7 to 157.3 s under injectant flow rates equal to 9% of the primary gas flow rates and at the injection location of 𝑋/𝐿=0.47 (where 𝑋 is the distance from the throat to the injection location and 𝐿 is the length of the nozzle diverging section). To examine the effects of injection location on the LITVC performance  side specific impulses were measured at 𝑋/𝐿=0.3  0.47  and 0.72 under the chamber pressure condition of 40 bar. Among all injection locations  𝑋/𝐿=0.47 provided the highest side specific impulses under all injectant flow rate conditions. Furthermore  the radial spreading caused by increasing the injectant flow rates degraded the LITVC efficiency.;JPP;35.1
Dynamic Hybrid Reynolds-Averaged Navier–Stokes/Large-Eddy Simulation of a Supersonic Cavity: Chemistry Effects;A Mach 2 supersonic cavity flameholder is simulated using three hybrid Reynolds-averaged Navier–Stokes (RANS)/large-eddy simulation (LES) turbulence modeling approaches. Finite rate chemistry is included with an ignition-delay-optimized three-step ethylene mechanism. The models investigated include the Improved Delayed Detached Eddy Simulation (IDDES) model  with both steady and unsteady (turbulent) inflow conditions  as well as the dynamic hybrid RANS–LES (DHRL) model with steady inflow conditions. Results are interrogated to determine the effect of combustion on the flowfield within the cavity. Results between the different models are also compared with one another and to experimental data to highlight key differences between them. It is found that both the IDDES model with unsteady inflow (UIDDES) and the DHRL model show significantly better predictive performance than the IDDES model with steady inflow. Analysis of turbulence production mechanisms for each of the models provides insight into the reasons for this behavior. Interestingly  the DHRL model is capable of mitigating well-known weaknesses of traditional hybrid models in the region of RANS-to-LES transition without requiring the use of a more complex unsteady inlet boundary condition prescription.;JPP;35.1
Eulerian and Lagrangian Ice-Crystal Trajectory Simulations in a Generic Turbofan Compressor;This study provides a comparison between an Eulerian and a Lagrangian approach for simulation of ice-crystal trajectories and impact in a generic turbofan compressor. The enginelike geometry consists of a one-and-a-half stage (stator–rotor–stator) compressor  in which the computed airflow is steady and inviscid. Both methods apply the same models to evaluate ice-crystal dynamics  mass and heat transfer  and phase change along ice-crystal trajectories. The impingement of the crystals on the blade surfaces is modeled assuming full deposition for comparison and validation purposes. Moreover  the effect of ice-crystal diameter and sphericity variations on impinging mass flux and particle melting ratio is briefly assessed. Then  a more realistic wall interaction model predicts rebound  shattering  or deposition as a function of impact parameters that is applied. When the full deposition model is activated  an excellent agreement is observed between the Eulerian and Lagrangian approaches for the impinging mass-flux profiles on each blade  while moderate differences appear for the melting curves. However  significant differences appear between both approaches when using the more realistic wall interaction model. The analysis of these results highlights the classic limitations of standard Eulerian and Lagrangian methods for this type of applications.;JPP;35.1
Hybrid Rocket Firing Experiments at Various Axial–Tangential Oxidizer-Flow-Rate Ratios;A breadboard model (BBM) of an altering-intensity swirling-flow-type (A-SOFT) hybrid rocket engine was recently developed  and static firing experiments of the BBM were performed under various axial and tangential oxidizer mass-flow rates. A-SOFTs are intended to control thrust at an optimal oxidizer-to-fuel-mass ratio and achieve a high baseline of regression rates with a fixed motor configuration. This is possible by controlling both the oxidizer mass-flow rate and the effective geometric swirl number. A simple model based on a continuous and monotonic function of oxidizer mass flux and effective geometric swirl number was able to accurately predict the performance of experiments conducted on the A-SOFT BBM. The local fuel regression behavior in the axial direction of the A-SOFT BBM was shown to be like that of a swirling-oxidizer-flow-type hybrid rocket engine. Combustion efficiency was evaluated indirectly using equations for the efficiencies of thrust and specific impulse to eliminate errors due to local pressure shifts and the centrifugal force in swirling flows. In most cases  this indirect method compensated for the overestimations of 𝑐∗ efficiency that resulted by directly using chamber-pressure data.;JPP;35.1
Laser-Ignited Micromotor Using Multiple Stacked Solid Propellant Pellets;"This study proposes the laser-ignited micromotor (LIMO)  which is a new propulsion system for CubeSats to overcome the problems associated with conventional chemical propellants. The solid propellant pellets are stacked and stored in the micromotor. This concept makes it possible to design the total impulse of the micromotor in a flexible manner at a low cost and in a short time  depending on microsatellite missions. In addition  a laser-ignition system is integrated with the micromotor to address the problems of ignition delay and the difficulty in cutting the high-current feed lines of the ignition system. Firing tests are conducted in a vacuum chamber using four types of micromotors with different characteristics; that is  each type has a different number of solid propellant pellets and a different ignition system. Total impulses of 184 and 229N⋅s are achieved by the two types of LIMOs with 98 and 140 stored pellets  respectively  with a burning rate of 30.4mm/s. Ignition delay is improved from 0.37 to 0.04 s by using the laser-ignition system. In addition  an engineering model of the LIMO is designed.";JPP;35.1
Computational Fluid Dynamics Investigation of Transient Effects of Aircraft Ground Deicing Jets;The present Paper investigates the heat transfer and momentum created by a hot turbulent propylene glycol jet impinging on a horizontal plate at below the freezing-point temperature. A model for the simulation of the initial formation of liquid film at the beginning of an aircraft ground deicing process is proposed. The volume of fluid model coupled with the film formulation is employed using computational fluid dynamics to capture the interface in multiphase flow (liquid propylene glycol/liquid water/air). The three-dimensional Reynolds averaged Navier–Stokes equations are numerically solved using a finite volume discretization under unsteady conditions. The ground deicing case consists of a 1m3 box and a convergent divergent nozzle installed inside the box. Approximately 512 000 rectangular cells with 0.006 m of thickness are used to refine the mesh of the liquid film on the wall. Flow conditions set are 60°C for the propylene glycol inlet temperature and 0°C for the static ambient temperature. The computed impinged surface skin Nusselt number gives the most noticeable discrepancies at the stagnation point  where the analysis results in a lower skin Nusselt number compared to the experimental results. The magnitudes of heat transfer for the ground deicing case study are found to be in good agreement with experimental hot jet data obtained from the literature.;JTHT;33.1
Computational Predictions of the Hypersonic Material Environmental Test System Arcjet Facility;The Hypersonic Materials Environmental Test System arcjet facility located at the NASA Langley Research Center in Hampton  Virginia  is primarily used for the research  development  and evaluation of high-temperature thermal protection systems for hypersonic vehicles and reentry systems. To improve testing capabilities and knowledge of the test article environment  a detailed three-dimensional model of the arcjet nozzle and the freejet portion of the flowfield is developed. The computational fluid dynamics model takes into account nonuniform inflow state profiles at the nozzle inlet as well as catalytic recombination efficiency effects at the probe surface. The results of the numerical simulations are compared to the calibrated pitot pressure and the stagnation-point heat flux for three test conditions at low  medium  and high enthalpies. Comparing the results and the test data indicates a partially catalytic copper surface on the heat flux probe of about 10% recombination efficiency and a 2–3 kPa pressure drop from the total pressure measured at the plenum section in front of the nozzle. With these assumptions  the predictions are within the uncertainty of the stagnation pressure and heat flux measurements. The predicted velocity conditions at the nozzle exit are also compared and show good agreement with the radial and axial velocimetry data.;JTHT;33.1
Crossplane Phonon Transport and Thermal Boundary Resistance Across Thin Films Pair;"Crossplane transport of phonons in the silicon and diamond thin films pair is considered  and the thermal boundary resistance is formulated using the cutoff mismatch model at the films pair interface. The transient and frequency-dependent equation for phonon radiative transport is incorporated to simulate the phonon intensity distribution at the interface. Temperature disturbance is introduced at one edge of the silicon film to initiate crossplane phonon transport across the films pair. The thermal boundary resistance predicted from the cutoff mismatch model is compared with that obtained from the diffusive mismatch model. It is found that the cutoff mismatch model predicts higher values of the thermal boundary resistance than that of the diffusive mismatch model. In this case  phonons  which have frequencies mismatching across the interface contribute to the thermal boundary  increase. The thermal boundary resistance predicted from the cutoff mismatch model agrees well with those reported in previous studies. The effect of the silicon film size (width) has a significant effect on the thermal boundary resistance; in which case  reducing the silicon film width lowers the thermal boundary resistance at the interface.";JTHT;33.1
Detecting Material Defects Using a Scanning Laser Beam;A moving line-source laser beam was used to scan the entire surface of a rectangular plate  pursuant to locating defects. The laser generates a point beam of laser energy  which is transformed into a line-heating source using sheet-forming optical components. The heat source is then scanned across the sample by placing the sample in a vertical position on a moving servo table  which moves horizontally at a prescribed speed. A relatively small overall temperature rise of 10° is desired to allow the heat transfer to be modeled mathematically assuming constant thermal properties. A thermal camera was employed for recording the temperature distribution on the nonheated side of the sample. Once a mathematical model or other smoothing technique is fitted to the experimental data  the calculated temperature is subtracted from the measured temperature  and a residual temperature field is created. Additional features of this research include the use of simple spline fits  Bayesian techniques  and the mollification method. The results are provided  which allow for a comparison of the effectiveness of each technique.;JTHT;33.1
Effect of Temperature-Dependent Thermal Conductivity on Spreading Resistance in Flux Channels;When the thermal conductivity of a material varies with temperature  the governing heat conduction equation becomes nonlinear and the use of constant thermal conductivity may produce unreliable results in thermal analysis. In this paper  analytical solutions for the temperature distribution and thermal resistance of a three-dimensional flux channel with temperature-dependent thermal conductivity are discussed and used to study the effect of the temperature-dependent thermal conductivity on the temperature rise and thermal spreading resistance for different conductivity functions. A single eccentric heat source is considered in the source plane of the flux channel that spreads the heat into a convective heat sink. The analytical solutions of the problem are illustrated by means of the Kirchhoff transform  which is considered a powerful technique for solving nonlinear conduction problems with temperature-dependent thermal conductivity. For validation purposes of the analytical results  the results are compared with numerical solution results obtained by solving the problem based on the finite element method using the ANSYS commercial software package.;JTHT;33.1
Optical Diagnostics in a High-Pressure Combustor with Gaseous Oxygen and Kerosene;This paper presents analysis of results from optical diagnostics in a high-pressure combustor burning gaseous oxygen (GOX) and liquid kerosene RP-2 fuel through a jet-swirl coflow injector. The objectives of the experiment were to measure flame stabilization and position under high-pressure conditions. Data were obtained at pressures from 2 to 16.5 MPa and mixture ratios from 2.9 to 20. High-speed cameras captured side-on chemiluminescence and infrared images of the flame. Results show that the flame-spreading angle from the injector ranges from approximately 3 to 6 deg  varying with pressure and propellant mass flow rate. A novel borescope was used to image the flame from upstream of the GOX post  enabling visualization of the flame near its stabilization location. The flame stabilization characteristics change significantly with the fuel flow velocity (which is proportional to pressure). At low pressures and fuel flow velocities  the flame appears to be distributed azimuthally in a nearly axisymmetric manner. At higher velocities  helical spirals of luminosity develop near the GOX post. In addition  the side-on views reveal concentrated streaks of  presumably  fuel entering the combustion chamber. These results suggest that computations must resolve the individual fuel injection orifices  to capture the flame stabilization.;JPP;35.1
Propulsive Performance and Heating Environment of Rotating Detonation Engine with Various Nozzles;Geometric throats are commonly applied to rocket combustors to increase pressure and specific impulse. This paper presents the results from thrust measurements of an ethylene/gas-oxygen rotating detonation engine with various throat geometries in a vacuum chamber to simulate varied backpressure conditions in a range of 1.1–104 kPa. For the throatless case  the detonation channel area was regarded to be equivalent the throat area  and three throat-contraction ratios were tested: 1  2.5  and 8. Results revealed that combustor pressure was approximately proportional to equivalent throat mass flux for all test cases. Specific impulse was measured for a wide range of pressure ratios  defined as the ratio of the combustor pressure to the backpressure in the vacuum chamber. The rotating detonation engine could achieve almost the same level of optimum specific impulse for each backpressure  whether or not flow was squeezed by a geometric throat. In addition  heat-flux measurements using heat-resistant material are summarized. Temporally and spatially averaged heat flux in the engine were roughly proportional to channel mass flux. Heat-resistant material wall compatibility with two injector shapes of doublet and triplet injection is also discussed.;JPP;35.1
Role of Ignition Delay in Rotating Detonation Engine Performance and Operability;Rotating detonation engines (RDEs) represent a promising technology for improving the performance of existing aerospace combustors  but additional research is needed to characterize the operability limits and performance of these devices. In particular  contact surface burning and preignition of propellants can have a profound impact on both performance and limit-cycle detonation behavior  but the detailed mechanisms behind this behavior and the associated scaling with chamber pressure are not well understood. To this end  ignition delay times are computed using a constant pressure–enthalpy  homogeneous reactor model and compared with typical RDE cycle times and operating conditions. Results are presented for combustion in both oxygen and air at various pressures using hydrogen  methane  and natural gas fuels. Results suggest that preignition of propellants before wave arrival may dominate chamber behavior and prevent stable limit-cycle detonation from occurring with certain propellant combinations above certain pressures. The impact of liquid injection is also considered with respect to changes in mixed gas temperature and vaporization delay. Finally  a simplified assessment of the injector dynamic response and turbulent mixing environments are considered in an effort to demonstrate the significance of ignition delay relative to these other mechanisms. These results support observed high-pressure RDE operating behavior in tests conducted at Purdue University  and they provide insight into potential operability limits and scaling of RDEs to high operating pressures.;JPP;35.1
Effect of Transverse Twisted Baffles on Performance and Irreversibilities in a Duct;Thermal performance and entropy generation are studied for water in a square heat exchanger duct equipped with several transverse twisted baffles to obtain optimal working condition. The influences of twisting angle  nondimensional distance between baffles (𝐷/𝐻)  and Reynolds numbers on heat transfer  pressure drop  performance evaluation criteria  and different types of entropy generations are investigated using the finite volume method. The performance evaluation criteria of applying the baffle tend to increase with an increase in the Reynolds number and twisting angle. The performance evaluation criteria at 𝐷/𝐻=1.5 and 𝑅𝑒=350 increase by about 9% when twisting angle increases from 180 to 540 deg. In addition  the utilization of transverse twisted baffles inside a duct decreases the thermal entropy generation. For example  the thermal entropy generation decreases by about 210% using transverse twisted baffles with 𝐷/𝐻=1 and 𝛾=5400 in comparison with an empty duct  without using twisted baffles  at 𝑅𝑒=350.;JTHT;33.1
Electron-Impact Ionization of Atomic Nitrogen;New electron-impact ionization (EII) data are presented for neutral atomic nitrogen. The atom is treated as a 67-state system  incorporating Rydberg values up to 𝑛=20. State-specific cross sections for the first three states are from published 𝐵-spline 𝑅-matrix-with-pseudostates results. Binary-encounter Bethe calculations have been performed for the remaining 64 states. These data are designed for modeling the hypersonic chemistry that occurs when a space vehicle enters Earth’s atmosphere from beyond orbit. The cross sections have been convolved into state-specific thermal rate coefficients and fit with the commonly used Arrhenius–Kooij formula for ease of use in shock-heated air plasma models. Additionally  rate coefficients are provided for a reduced 10-state system for use in coarse-grain models. For a given collisional–radiative model  these fine- and coarse-grain data can be used to generate state-specific rate coefficients for three-body electron–ion recombination  the time-reverse process of EII.;JTHT;33.1
Generalized Thermo-Elastodynamics for Polycrystalline Metallic Thin Films in Response to Ultrafast Laser Heating;A generalized thermo-elastodynamic model applicable to investigating single- and polycrystalline metallic films for their coupled thermal-mechanical responses to ultrafast laser heating is presented. Built upon the two-temperature model  the governing field equations feature hyperbolic electron and lattice energy transports that admit finite propagation speed and incorporate a term of energy dissipation to the generation of thermally induced mechanical disturbance. Electron energy transport in polycrystalline thin film is investigated in-depth by considering temperature dependence and size effect due to film surface and grain boundary scattering. Numerical results generated using the generalized one-dimensional model for a single-crystalline gold film are favorably examined against published experimental data for validation. Several averaged grain diameters are considered to explore the coupled thermal-mechanical responses in polycrystalline gold films of different thicknesses to better understand the dynamics and size effect on energy transport subject to pulsed femtosecond laser.;JTHT;33.1
Simplified Description of Heat Release Oscillations for Assessing Combustor Stability;A simplified description of heat release oscillations associated with vortex-driven combustion instabilities is developed that can greatly reduce the amount of data required for determining the linear stability of combustor eigenmodes. The simplification is achieved by first representing heat release fluctuations as sinusoidal oscillations and then modeling the amplitude of the oscillations using a heuristic assumption of proportionality between the mean and the fluctuating components of local heat release. It is shown that by simply knowing 1) the average heat release  and 2) the heat release at any particular phase of the oscillations  complete spatiotemporal description of heat release oscillations can be reconstructed  and the linear stability of a given eigenmode can be determined. The description is shown to correctly determine the linear stability of a 150 Hz vortex-driven marginal amplitude instability in a laboratory-scale dump combustor with local and global Rayleigh indices within 16% of the experimentally obtained values. The approach opens up the possibility of predicting modal stability in the future without experiments  by using other forms of data  such as computational data on time-averaged heat release distribution and physics-based modeling data on phase-specific heat release rates.;JPP;35.1
Influence of Surface Radiation on Dusty Fluid Along Vertical Isothermal Wavy Wall;A boundary-layer analysis is presented to investigate the surface radiation effects on the natural convection flow of a dusty particulate suspension past a vertical wavy surface. To express the contribution of surface radiative heat flux  the Stefan–Boltzmann law is employed in the boundary conditions of the particulate suspension problem. The governing equations are simulated numerically by using a two-point implicit finite difference scheme. For the validation of the code  results are compared with the benchmark solutions and are found in good agreement. The influence of surface radiation on water/particulate suspension is established through parametric study. The surface radiation parameter 𝑅 and radiative length parameter 𝜆 decrease the magnitude of the skin-friction coefficient and dimensionless heat-transfer rate (Nusselt number). The amplitude of the harmonic oscillations decays with 𝑅 and 𝜆. The momentum and thermal boundary-layer thicknesses reduce considerably when more particles are added into the base fluid.;JTHT;33.1
Investigation of Infrared Signature of Serpentine Nozzle for Turbofan;"Infrared stealth technology is one of the essential abilities for advanced stealth aircraft. The exhaust system is the main infrared radiation source of aircraft. The serpentine nozzle is a potential configuration that could efficiently suppress the infrared signature of the exhaust system  but there are few papers focused on the criteria for designing a serpentine nozzle from the view of infrared suppression. Investigating the effect of the shield ratio on the infrared signature of the serpentine nozzle is the primary purpose of this paper. For the serpentine nozzle  the gas infrared signature level in the vertical plane is greater than that in the horizontal plane  and the wall infrared signature level at the negative azimuth angle in the vertical plane is greater than that at the positive azimuth angle. The shield ratio has an important impact on the infrared signature of the serpentine nozzle  and the analysis indicates that the serpentine nozzle with Δ𝑌=1 has a better stealth performance; additionally  the visible area ratio is suggested to be under 0.041.";JTHT;33.1
Stabilization of Premixed Swirl Flames Under Flow Pulsations Using Microsecond Pulsed Plasmas;A repetitively pulsed plasma was used to stabilize a lean premixed turbulent swirl flame under flow pulsations with amplitudes ranging between 10 and 30% of the total flow rate. Flow pulsations with a frequency of 5 Hz were generated by a high-amplitude flow disturbance system to simulate the surge conditions in real combustors. The discharge pulses were set with a tunable delay time relative to the flow pulsations. When the discharge pulses occur before or during the flow pulsation  the plasma extends the lean flammability limit of the swirl flame. The transient heat-release rate indicates that the flame stabilization is caused by a plasma reignition process. However  when the plasma discharges occur with specific time delays after the flow pulsation  the plasma further destabilizes the flame  which is attributed to wrinkled flame surfaces and shock waves generated by plasma aerodynamic actuation. Increasing the discharge frequency to 40 Hz further extends the ignition limits from 0.63 to 0.45 due to the increased average ignition energy. The paper may provide an alternative solution for direct control of unsteady combustion dynamics.;JPP;35.1
Tailored Fuel Injection for Performance Enhancement in a Mach 12 Scramjet Engine;To investigate the potential performance benefits of tailored fuel injection in a scramjet engine  flow through a rectangular-to-elliptical shape-transitioning scramjet was simulated with two different combustor injection geometries: one with uniform film injection  and the other with oblique-angle cross-flow porthole injectors targeting the flow structures observed in engine simulations. Both engines used inlet injection to promote rapid ignition and burning of the combustor-injected fuel. The simulations were compared with experimental data for validation purposes. The tailored-injection engine fuelled to an equivalence ratio of 1.24 realized higher performance than the film-injection configuration  achieving oxygen-based mixing and combustion efficiencies of 98.9% and 84.9%  respectively. Tailored injection shows promise as a method for improving scramjet performance  allowing higher fuel efficiency with simplified fuel injection  and potentially shorter combustor sections.;JPP;35.1
Local Heat Transfer Coefficient Measurements on an Engine-Representative Internal Cooling Passage;Spatially resolved heat transfer measurements of turbomachinery components can lead to more accurate metal temperature distributions  leading to better predictions of thermal stresses in the blade and  ultimately  blade life. The increased fidelity of the spatially resolved data also provides a data set  which can delineate the complex fluid and heat transfer processes for the purpose of numerical validation. This research applies transient liquid crystal experiments on stationary engine-representative internal cooling passages with a filleted rectangular cross section and staggered 45 deg ribs on two opposing walls. The ribs have a rounded profile and span half the width of the passage. Pressure loss measurements and spatially resolved heat transfer coefficients have been collected over the full surface of the test section over a range of Reynolds numbers (18 000–105 000) for three aspect ratios (1∶2  1∶3  and 1∶4). The experimental results were compared to widely used empirical correlations for ribbed passages with full-width ribs in sharp-cornered passages. The average Nusselt number and friction factor differed from industry-standard correlations by a maximum of 45 and 10%  respectively.;JTHT;33.1
